sec,r.init,r.init was invoked (a)
4.307,0.558,Mainline,Ending state machine pass
4.309,1.236,Mainline,Begining state machine pass
4.309,0.786,StateMachine,before if(conditionsToCheck
4.310,0.724,StateMachine,before this.everyTime
4.311,0.994,StateMachine,after this.everyTime
4.314,2.963,StateMachine,run completed
4.315,1.161,Mainline,Ending state machine pass
4.317,1.799,Mainline,Begining state machine pass
4.318,1.140,StateMachine,before if(conditionsToCheck
4.319,1.305,StateMachine,before this.everyTime
4.321,1.871,StateMachine,after this.everyTime
4.323,1.688,StateMachine,run completed
4.324,1.239,Mainline,Ending state machine pass
4.350,25.895,Mainline,Begining state machine pass
4.352,1.543,StateMachine,before if(conditionsToCheck
4.353,1.770,StateMachine,before this.everyTime
4.355,2.035,StateMachine,after this.everyTime
4.357,1.099,StateMachine,run completed
4.359,2.031,Mainline,Ending state machine pass
4.360,1.214,Mainline,Begining state machine pass
4.361,0.763,StateMachine,before if(conditionsToCheck
4.362,1.025,StateMachine,before this.everyTime
4.363,0.959,StateMachine,after this.everyTime
4.363,0.596,StateMachine,run completed
4.364,0.995,Mainline,Ending state machine pass
4.365,0.761,Mainline,Begining state machine pass
4.366,0.811,StateMachine,before if(conditionsToCheck
4.367,0.818,StateMachine,before this.everyTime
4.368,1.067,StateMachine,after this.everyTime
4.368,0.582,StateMachine,run completed
4.369,0.788,Mainline,Ending state machine pass
4.370,0.530,Mainline,Begining state machine pass
4.370,0.682,StateMachine,before if(conditionsToCheck
4.371,0.533,StateMachine,before this.everyTime
4.371,0.684,StateMachine,after this.everyTime
4.372,0.828,StateMachine,run completed
4.373,0.612,Mainline,Ending state machine pass
4.373,0.490,Mainline,Begining state machine pass
4.374,0.926,StateMachine,before if(conditionsToCheck
4.375,0.554,StateMachine,before this.everyTime
4.375,0.654,StateMachine,after this.everyTime
4.376,0.566,StateMachine,run completed
4.377,0.600,Mainline,Ending state machine pass
4.377,0.506,Mainline,Begining state machine pass
4.378,0.662,StateMachine,before if(conditionsToCheck
4.381,3.580,StateMachine,before this.everyTime
4.384,2.303,StateMachine,after this.everyTime
4.385,1.444,StateMachine,run completed
4.386,0.941,Mainline,Ending state machine pass
4.389,2.496,Mainline,Begining state machine pass
4.391,2.691,StateMachine,before if(conditionsToCheck
4.393,1.946,StateMachine,before this.everyTime
4.396,2.405,StateMachine,after this.everyTime
4.397,1.755,StateMachine,run completed
4.398,0.705,Mainline,Ending state machine pass
4.399,0.735,Mainline,Begining state machine pass
4.401,1.911,StateMachine,before if(conditionsToCheck
4.402,1.477,StateMachine,before this.everyTime
4.405,2.420,StateMachine,after this.everyTime
4.406,1.448,StateMachine,run completed
4.407,0.739,Mainline,Ending state machine pass
4.408,0.997,Mainline,Begining state machine pass
4.409,0.762,StateMachine,before if(conditionsToCheck
4.410,1.447,StateMachine,before this.everyTime
4.411,0.665,StateMachine,after this.everyTime
4.412,1.297,StateMachine,run completed
4.413,1.285,Mainline,Ending state machine pass
4.414,1.122,Mainline,Begining state machine pass
4.415,0.858,StateMachine,before if(conditionsToCheck
4.416,0.533,StateMachine,before this.everyTime
4.417,0.887,StateMachine,after this.everyTime
4.417,0.506,StateMachine,run completed
4.418,0.584,Mainline,Ending state machine pass
4.419,1.399,Mainline,Begining state machine pass
4.421,1.468,StateMachine,before if(conditionsToCheck
4.422,0.923,StateMachine,before this.everyTime
4.423,1.090,StateMachine,after this.everyTime
4.424,0.897,StateMachine,run completed
4.424,0.826,Mainline,Ending state machine pass
4.425,0.478,Mainline,Begining state machine pass
4.426,1.076,StateMachine,before if(conditionsToCheck
4.427,1.054,StateMachine,before this.everyTime
4.429,1.631,StateMachine,after this.everyTime
4.429,0.530,StateMachine,run completed
4.430,0.629,Mainline,Ending state machine pass
4.431,1.264,Mainline,Begining state machine pass
4.432,0.809,StateMachine,before if(conditionsToCheck
4.433,0.915,StateMachine,before this.everyTime
4.436,3.255,StateMachine,after this.everyTime
4.437,0.847,StateMachine,run completed
4.438,0.683,Mainline,Ending state machine pass
4.439,1.297,Mainline,Begining state machine pass
4.441,2.268,StateMachine,before if(conditionsToCheck
4.444,2.537,StateMachine,before this.everyTime
4.446,2.308,StateMachine,after this.everyTime
4.447,1.525,StateMachine,run completed
4.449,1.320,Mainline,Ending state machine pass
4.450,1.179,Mainline,Begining state machine pass
4.451,1.506,StateMachine,before if(conditionsToCheck
